
1546013340.909380262, 0, v
1546013342.780005845, user press, v
1546013344.228321443, Reeti standby
1546013344.441078053, exp1 d mode
1546013344.444068871, face tracking, on
1546013346.447411375, reeti turn to, 0
1546013346.447480728, 0, u
1546013348.342709769, user press, u
1546013349.879548116, Reeti standby
1546013350.064232328, exp1 d mode
1546013350.070763324, face tracking, on
1546013352.074563800, reeti turn to, 1
1546013352.074651762, 1, u
1546013353.653978569, user press, u
1546013355.435672891, Reeti standby
1546013355.639639990, exp1 d mode
1546013355.642842195, face tracking, on
1546013357.646296147, reeti turn to, 0
1546013357.646338407, 0, u
1546013359.323425839, user press, u
1546013360.679084136, Reeti standby
1546013360.919395832, exp1 d mode
1546013360.924485269, face tracking, on
1546013362.928726950, reeti turn to, 1
1546013362.928774952, 1, u
1546013364.471347804, user press, u
1546013366.222246352, Reeti standby
1546013366.410760290, exp1 d mode
1546013366.413435100, face tracking, on
1546013368.425411288, reeti turn to, 0
1546013368.425523829, 0, u
1546013370.144076584, user press, u
1546013371.656451849, Reeti standby
1546013371.907905029, exp1 d mode
1546013371.911547776, face tracking, on
1546013373.918846277, reeti turn to, 0
1546013373.918917525, 0, v
1546013375.874158162, user press, v
1546013377.992553584, Reeti takes a break
1546013400.090934904, Reeti standby
1546013401.153738884, exp1 d mode
1546013401.159807123, face tracking, on
1546013403.163534865, reeti turn to, 0
1546013403.163566007, 1, u
1546013405.150491753, user press, u
1546013406.965554827, Reeti standby
1546013407.479413950, exp1 d mode
1546013407.490610229, face tracking, on
1546013409.493326260, reeti turn to, 0
1546013409.493350502, 0, v
1546013412.325715070, user press, v
1546013414.052244223, Reeti standby
1546013414.722282003, exp1 d mode
1546013414.725170056, face tracking, on
1546013416.728544322, reeti turn to, 1
1546013416.728585650, 0, u
1546013418.681516603, user press, u
1546013420.273938891, Reeti standby
1546013420.499740515, exp1 d mode
1546013420.502960993, face tracking, on
1546013422.506346482, reeti turn to, 0
1546013422.506387057, 1, v
1546013424.286609232, user press, v
1546013425.843244041, Reeti standby
1546013426.160585302, exp1 d mode
1546013426.165597793, face tracking, on
1546013428.169241291, reeti turn to, 1
1546013428.169334255, 0, v
1546013429.958269651, user press, v
1546013430.054672828, user press, v
1546013431.471429317, Reeti standby
