1546975269.503768496, 0, v
1546975271.210364455, user press, v
1546975272.797303675, face tracking, on
1546975274.799707498, reeti turn to, 0
1546975274.799732557, 0, u
1546975276.439718035, user press, u
1546975277.957872767, face tracking, on
1546975279.960522045, reeti turn to, 1
1546975279.960548019, 0, u
1546975281.636404216, user press, u
1546975283.133843643, face tracking, on
1546975285.136355349, reeti turn to, 1
1546975285.136389134, 1, v
1546975286.847673444, user press, v
1546975288.357264091, face tracking, on
1546975290.359807620, reeti turn to, 1
1546975290.359838794, 1, u
1546975291.956747789, user press, u
1546975293.509953380, face tracking, on
1546975295.512916183, reeti turn to, 0
1546975295.512948836, 0, v
1546975297.045024201, user press, v
1546975298.326994500, face tracking, on
1546975300.329492798, reeti turn to, 0
1546975300.329525460, 0, v
1546975301.936243657, user press, v
1546975303.441545689, face tracking, on
1546975305.444714400, reeti turn to, 0
1546975305.444742309, 0, v
1546975306.990723425, user press, v
1546975308.412901607, face tracking, on
1546975310.415727406, reeti turn to, 1
1546975310.415780399, 0, u
1546975312.109551776, user press, u
1546975414.877214477, face tracking, on
1546975416.879773320, reeti turn to, 1
1546975416.879799678, 0, u
1546975418.450909215, user press, u
1546975420.045296618, face tracking, on
1546975422.047715452, reeti turn to, 1
1546975422.047738161, 1, u
1546975423.593784666, user press, u
1546975425.389774066, face tracking, on
1546975427.392264045, reeti turn to, 0
1546975427.392305893, 0, u
1546975429.018275633, user press, u
1546975430.653432137, face tracking, on
1546975432.656781154, reeti turn to, 1
1546975432.656813570, 0, v
1546975434.567103014, user press, v
1546975435.916468501, face tracking, on
1546975437.918865776, reeti turn to, 1
1546975437.918902603, 0, u
1546975439.433429698, user press, u
1546975441.170793940, face tracking, on
1546975443.174500961, reeti turn to, 0
1546975443.174552213, 1, v
1546975444.808981408, user press, v
1546975446.605441558, face tracking, on
1546975448.608360564, reeti turn to, 1
1546975448.608457572, 0, u
1546975450.213956623, user press, u
1546975451.694097688, face tracking, on
1546975453.696933087, reeti turn to, 0
1546975453.696958041, 1, u
1546975455.345003244, user press, u
1546975456.892686995, face tracking, on
1546975458.895502290, reeti turn to, 0
1546975458.895527511, 0, v
1546975460.412965449, user press, v
1546975462.277394929, face tracking, on
1546975464.279738566, reeti turn to, 0
1546975464.279768645, 0, v
1546975465.761689793, user press, v
