;; This buffer is for text that is not saved, and for Lisp evaluation.
;; To create a file, visit it with C-x C-f and enter text in its buffer.

process[parser_server-1, started with pid3016]
process[blank_image-2, started with pid3017]
process[left_monitor-3, started with pid3023]
process[right_monitor-4, started with pid3037]
process[face_tracking-5, started with pid3044]
1545793287.451139188, user press, u
1545793289.510880899, exp1 d mode
1545793289.513729556, face tracking, on
1545793291.517059341, reeti turn to, 1
1545793291.517094929, 1, v
1545793293.688578712, user press, v
1545793295.919657318, exp1 d mode
1545793295.928439145, face tracking, on
1545793297.931965177, reeti turn to, 1
1545793297.932034835, 1, u
1545793300.206900857, user press, u
1545793302.148338131, exp1 d mode
1545793302.151302969, face tracking, on
1545793304.163977087, reeti turn to, 1
1545793304.164040205, 1, u
1545793306.338909645, user press, u
1545793308.034109328, Reeti takes a break
1545793444.522775882, Reeti takes a break
1545793483.266617706, Reeti takes a break
1545793484.511035889, Reeti standby
1545793485.708845450, exp1 f mode
1545793485.708872497, face tracking, off
1545793487.713927523, reeti turn to, 0
1545793487.713961214, 0, u
1545793490.107495983, user press, u
1545793491.426378879, exp1 f mode
1545793491.426460585, face tracking, off
1545793493.429348558, reeti turn to, 1
1545793493.429433502, 0, u
1545793495.594189710, user press, u
1545793497.135552068, exp1 f mode
1545793497.135661155, face tracking, off
1545793499.143591840, reeti turn to, 1
1545793499.143649584, 0, v
1545793501.426470736, user press, v
1545793502.977862984, exp1 f mode
1545793502.977921432, face tracking, off
1545793504.981825924, reeti turn to, 0
1545793504.981908286, 1, u
1545793507.453949359, user press, u
1545793509.114416965, exp1 f mode
1545793509.114490707, face tracking, off
1545793511.118704343, reeti turn to, 0
1545793511.118813541, 1, v
1545793513.538823161, user press, v
1545793514.857708584, exp1 f mode
1545793514.857732959, face tracking, off
1545793516.860273662, reeti turn to, 1
1545793516.860339674, 1, u
1545793519.181914725, user press, u
1545793520.590327458, exp1 f mode
1545793520.590349163, face tracking, off
1545793522.593546913, reeti turn to, 1
1545793522.593611360, 1, u
1545793525.011115466, user press, u
1545793526.330342651, exp1 f mode
1545793526.330453295, face tracking, off
1545793528.333991506, reeti turn to, 0
1545793528.334160781, 1, u
1545793530.709631152, user press, u
1545793532.033632505, exp1 f mode
1545793532.033657487, face tracking, off
1545793534.183224541, reeti turn to, 0
1545793534.183258391, 0, v
1545793536.566119341, user press, v
1545793538.157730168, exp1 f mode
1545793538.157823105, face tracking, off
1545793540.161123778, reeti turn to, 0
1545793540.161197525, 1, u
1545793542.665326468, user press, u
1545793544.467342350, Reeti takes a break
1545793555.488829889, Reeti standby
1545793557.886100574, exp1 d mode
1545793557.890455438, face tracking, on
1545793559.894006151, reeti turn to, 0
1545793559.894181360, 0, v
1545793562.275803749, user press, v
1545793563.720332981, exp1 d mode
1545793563.722704171, face tracking, on
1545793565.725874202, reeti turn to, 1
1545793565.725917892, 0, v
1545793567.996822676, user press, v
1545793569.680697746, exp1 d mode
1545793569.688049879, face tracking, on
1545793571.691905798, reeti turn to, 1
1545793571.692089175, 0, v
1545793573.977003886, user press, v
1545793575.899422940, exp1 d mode
1545793575.906901027, face tracking, on
1545793577.910513986, reeti turn to, 0
1545793577.910559201, 0, u
1545793580.183495481, user press, u
1545793582.188309716, exp1 d mode
1545793582.191852895, face tracking, on
1545793584.201109810, reeti turn to, 1
1545793584.201188407, 0, v
1545793586.606163388, user press, v
1545793589.440513022, exp1 d mode
1545793589.443186663, face tracking, on
1545793591.451764667, reeti turn to, 1
1545793591.451810514, 0, u
1545793593.885398578, user press, u
1545793595.666562400, exp1 d mode
1545793595.672142431, face tracking, on
1545793597.676001851, reeti turn to, 1
1545793597.676056089, 0, v
1545793600.007151144, user press, v
1545793601.706385162, exp1 d mode
1545793601.709255018, face tracking, on
1545793603.716502746, reeti turn to, 1
1545793603.716634636, 0, u
