1545339846.895849323, reeti turn to, 1
1545339846.895884279, 0, u
1545339848.914332931, user press, u
1545339850.201022503, face tracking, off
1545339852.203678794, reeti turn to, 1
1545339852.203706983, 1, u
1545339854.313792469, user press, u
1545339856.295851828, face tracking, off
1545339858.298447621, reeti turn to, 0
1545339858.298509344, 1, v
1545339860.344129956, user press, v
1545339861.981650461, face tracking, off
1545339863.984158988, reeti turn to, 1
1545339863.984193736, 0, u
1545339866.074547627, user press, u
1545339867.478888088, face tracking, off
1545339869.481646453, reeti turn to, 1
1545339869.481674663, 0, u
1545339871.494749844, user press, u
1545339895.834150393, face tracking, off
1545339897.836613539, reeti turn to, 0
1545339897.836643049, 1, v
1545339899.945138079, user press, v
1545339901.559985784, face tracking, off
1545339903.563541977, reeti turn to, 0
1545339903.563582961, 1, u
1545339905.659085184, user press, u
1545339907.181366649, face tracking, off
1545339909.184393730, reeti turn to, 1
1545339909.184424892, 1, u
1545339911.300714304, user press, u
1545339913.032119299, face tracking, off
1545339915.034592574, reeti turn to, 1
1545339915.034615960, 1, u
1545339917.033029401, user press, u
1545339918.282367275, face tracking, off
1545339920.284867350, reeti turn to, 0
1545339920.284900550, 1, u
1545339922.199743731, user press, u
1545339923.694067726, face tracking, off
1545339925.696969748, reeti turn to, 1
1545339925.697004937, 1, u
1545339927.655638644, user press, u
1545339929.114142130, face tracking, off
1545339931.116641225, reeti turn to, 1
1545339931.116675852, 1, u
1545339933.072081255, user press, u
1545339934.390929897, face tracking, off
1545339936.393621219, reeti turn to, 0
1545339936.393659481, 1, v
1545339938.503780962, user press, v
1545339939.839595908, face tracking, off
1545339941.842197922, reeti turn to, 0
1545339941.842224886, 0, v
1545339943.899431105, user press, v
1545339945.488971454, face tracking, off
1545339947.491847493, reeti turn to, 1
1545339947.491914484, 0, u
1545339949.532700705, user press, u
1545339982.600183231, face tracking, off
1545339984.609757859, reeti turn to, 0
1545339984.609799457, 0, v
1545339986.765230630, user press, v
1545339988.785201528, face tracking, off
1545339990.788350726, reeti turn to, 1
1545339990.788394973, 0, u
1545339992.748787806, user press, u
1545339994.215119608, face tracking, off
1545339996.219389750, reeti turn to, 0
1545339996.219421279, 1, u
1545339998.375848513, user press, u
1545339999.834486653, face tracking, off
1545340001.837034722, reeti turn to, 0
1545340001.837088623, 1, u
1545340003.959575472, user press, u
1545340005.560208424, face tracking, off
1545340007.562928633, reeti turn to, 1
1545340007.562961307, 1, v
1545340009.613507727, user press, v
1545340011.133857854, face tracking, off
1545340013.136556971, reeti turn to, 1
1545340013.136590283, 1, u
1545340015.163164309, user press, u
1545340016.589845258, face tracking, off
1545340018.592921719, reeti turn to, 0
1545340018.592958971, 0, v
1545340020.479747048, user press, v
1545340021.936169374, face tracking, off
1545340023.938934841, reeti turn to, 1
1545340023.938967876, 1, v
1545340025.929593354, user press, v
1545340027.236873996, face tracking, off
1545340029.240520604, reeti turn to, 0
1545340029.240573597, 1, u
1545340031.300321859, user press, u
1545340032.615158135, face tracking, off
1545340034.618323267, reeti turn to, 0
1545340034.618395273, 0, v
1545340036.738932719, user press, v
1545340056.182533358, face tracking, on
1545340058.185257909, reeti turn to, 1
1545340058.185286681, 1, u
1545340060.383348072, user press, u
1545340061.858953888, face tracking, on
1545340063.862261803, reeti turn to, 1
1545340063.862299604, 0, v
1545340065.945882338, user press, v
1545340067.490146780, face tracking, on
1545340069.493225899, reeti turn to, 1
1545340069.493278786, 1, v
1545340071.500934706, user press, v
1545340073.292653308, face tracking, on
1545340075.295196362, reeti turn to, 1
1545340075.295236351, 0, v
1545340077.372085497, user press, v
1545340078.741753403, face tracking, on
1545340080.744529622, reeti turn to, 1
1545340080.744567055, 0, v
1545340082.760192617, user press, v
1545340084.555501314, face tracking, on
1545340086.558185831, reeti turn to, 1
1545340086.558221090, 0, u
1545340088.558542386, user press, u
